id;description;start_time;end_time;init_price
1;than inside;2024-03-31T16:43:13;2024-04-01T07:57:00;19372
2;frost canter across;2024-04-01T07:55:42;2024-04-01T09:22:47;19035
3;finally unnecessarily psst;2024-04-01T12:19:42;2024-04-01T12:51:39;13380
4;automaton;2024-04-01T10:11:59;2024-04-01T00:08:50;13448
5;first;2024-03-31T22:52:12;2024-03-31T17:07:27;2645
6;glance frantically;2024-04-01T14:27:46;2024-03-31T19:42:01;23134
7;pish;2024-03-31T23:01:44;2024-03-31T16:10:41;9784
8;huzzah;2024-04-01T14:37:29;2024-04-01T05:59:40;15852
9;notion;2024-04-01T00:02:30;2024-03-31T20:33:37;4472
10;budget compromise;2024-04-01T06:42:40;2024-04-01T06:58:06;263
