id;event_time;price_before_bidding;price_step;number_of_price_step
1;2024-05-16T09:22:51;13141.02;31443.64;4236.19
2;2024-05-16T23:17:49;13899.21;25130.05;10228.53
3;2024-05-17T01:47:12;31801.13;29586.25;26030.59
4;2024-05-16T21:37:35;16157.18;14899.62;9178.87
5;2024-05-17T04:48:46;17679.55;22314.66;14983.51
6;2024-05-16T10:06:37;32534.66;21341.05;9903.97
7;2024-05-16T22:26:12;17019.46;8925.98;28275.7
8;2024-05-16T09:55:13;8686.84;5862.06;13832.87
9;2024-05-16T16:36:20;23864.64;6519.09;11527.32
10;2024-05-17T02:14:43;9425.42;9817.52;4690.61
