id;plate_number;status;vehicle_type;province
1;geez without;AWAITING_AUCTION;holder gleaming;trim pressure
2;besides fantasy that;AUCTION_COMPLETED;provided brave contact;underneath although
3;distract sometimes organisation;AUCTION_COMPLETED;sarcastic;honeymoon rear
4;generally disconnection;AWAITING_AUCTION;mover ruin;knitting flustered a
5;unimpressively down;AWAITING_AUCTION;ah yum;yowza stale
6;leeway despite tough-guy;AWAITING_AUCTION;over lanky gah;since stay
7;pro;AWAITING_AUCTION;like;huzzah ham
8;glimmer disastrous questionable;AUCTION_COMPLETED;consequently yuck;nose willfully hmph
9;amid;AUCTION_COMPLETED;inside bibliography;polished instead pace
10;plasterboard;AWAITING_AUCTION;nervous;gig
