id;description;start_time;end_time;initial_price;price_step
1;whoa considering ah;2024-05-17T02:30:39;2024-05-16T18:19:08;17573.9;21529.18
2;victimize;2024-05-17T01:10:17;2024-05-17T02:04:20;27576.1;3374.81
3;drat;2024-05-16T17:46:52;2024-05-16T22:13:06;24777.47;30965.73
4;cilantro;2024-05-17T06:04:07;2024-05-16T22:00:25;3640.27;3750.31
5;jubilantly more quickly;2024-05-16T07:05:35;2024-05-16T14:34:53;17242.77;22581.97
6;except sardonic;2024-05-16T17:34:33;2024-05-16T22:29:39;8087.26;18923.58
7;freely pillage;2024-05-16T19:36:43;2024-05-16T23:14:33;11550.44;8571.3
8;yowza stunt carol;2024-05-16T10:25:39;2024-05-16T09:19:49;16735.19;4031.57
9;beside consequently;2024-05-17T00:02:04;2024-05-17T06:39:09;31449.92;12487.28
10;without whereas inasmuch;2024-05-16T23:18:31;2024-05-17T00:25:44;29939.53;26735.98
